K_share,D_share,AI_share,H_share,K,D,AI,H,gdp_gain,inclusion,green_score,data_security,risk_index
0.1000005907429881,0.2349522592807602,0.37109530149521813,0.2939518484810335,8000.0472594390485,18796.180742460816,29687.624119617452,23516.14787848268,88860.14270655974,56175.19968737512,53683.678086571534,50301.85763694941,0.17063828546205093
0.1000012027641411,0.1137158597668241,0.38309906071641825,0.4031838767526166,8000.096221131287,9097.268781345929,30647.92485731346,32254.710140209325,88536.51888104,60100.80822985675,53074.836281098425,50067.53948419773,0.12934618927638858
0.10000088071858987,0.10366304454979366,0.38309906071641825,0.4132370140151982,8000.07045748719,8293.043563983492,30647.92485731346,33058.961121215856,88480.22904146276,60486.857718015315,53042.67577440647,50035.375628232054,0.12532495369408897
0.1000003784294786,0.10205471678519171,0.37036583522504557,0.42757906956028413,8000.030274358289,8164.377342815336,29629.266818003645,34206.32556482273,88094.32817355602,61322.83096604848,53271.83373503354,49867.25172972154,0.11704151651512675
0.10000028776725209,0.23018299829076241,0.3441082382001885,0.32570847574179695,8000.023021380167,18414.639863260993,27528.65905601508,26056.678059343758,88034.62334623642,57999.172875317716,54164.98641459152,49941.16643921682,0.15253824007728378
0.10042708887657915,0.2307935330093769,0.3367957018207479,0.33198367629329595,8034.167110126333,18463.482640750153,26943.656145659832,26558.694103463677,87813.73812341758,58391.99096033359,54290.22324578655,49842.69086691031,0.14854004451423644
0.10312616072364239,0.10376695618262806,0.35462766911010746,0.4384792139836221,8250.092857891392,8301.356494610245,28370.213528808596,35078.33711868977,87580.55260296687,62006.4095286427,53484.37450505428,49621.26985281551,0.1093462785851541
0.10000474096705785,0.16741713373323694,0.3367957018207479,0.3957824234789573,8000.379277364627,13393.370698658955,26943.656145659832,31662.593878316584,87466.6014890064,60853.68859372958,54098.568752914274,49646.643955779,0.12304588651454319
0.10590195771605629,0.2499329528607171,0.30402399121984325,0.34014109820338334,8472.156617284503,19994.63622885737,24321.91929758746,27211.28785627067,86850.13865415195,59286.02595163585,54809.9323270053,49396.86121331139,0.13839424149965193
0.10013357075234144,0.17722678725709604,0.30047747528611335,0.42216216670444917,8010.685660187316,14178.142980567683,24038.198022889068,33772.973336355935,86444.14557526562,62676.591773976346,54794.81390609641,49211.1002708475,0.10522261413030251
0.10000426826604018,0.16583147499268897,0.29894332355858855,0.4352209331826823,8000.341461283215,13266.517999415117,23915.465884687084,34817.67465461458,86337.30010119814,63216.03387505349,54789.99088427512,49157.066969269894,0.09970003534268237
0.108791861790262,0.10536626366456542,0.30203627511283593,0.4838055994323367,8703.348943220959,8429.301093165233,24162.902009026875,38704.44795458693,85928.5545629207,64766.35032554686,54307.59943038751,48862.56657652672,0.08035750354221681
0.1000004613075483,0.10007255761224663,0.2974628575791116,0.5024641235010934,8000.036904603864,8005.804608979731,23797.028606328928,40197.12988008747,85925.29841891139,65831.44141605853,54606.90342638426,48927.749380451045,0.07250689443693208
0.10000121307990151,0.1829458800510566,0.279651723574845,0.43740118329419686,8000.09704639212,14635.670404084529,22372.137885987602,34992.09466353575,85862.16562543114,63731.97286418338,55199.80307707683,48964.94946864297,0.09496979861249616
0.10000121307990151,0.20671184938241544,0.26851540304934696,0.42477153448833604,8000.09704639212,16536.947950593236,21481.232243947758,33981.722759066884,85665.61996613201,63496.44792980948,55480.762476606345,48898.45566777694,0.09779439402974086
0.10204297964731804,0.123292222717223,0.27541411198775373,0.49925068564770525,8163.438371785443,9863.37781737784,22033.128959020298,39940.05485181642,85365.10333654331,66144.7467902213,55032.980789431254,48687.148071781274,0.06925996935962957
0.10000585922592013,0.11811164364484059,0.2594329941165374,0.5224495030127019,8000.46873807361,9448.931491587247,20754.639529322994,41795.96024101615,84900.53402050369,67450.59778915155,55364.23548435492,48498.60583674045,0.05690644606467152
